Candidate,Candidate_Entity:id,Num_of_Records,Total_dollar
"STEIN, JOSHUA H (JOSH)",333383,7137,4369566.34
"SESTAK JR, JOSEPH A",5023739,20881,4357013.4
"REYNOLDS, DOUGLAS V",3329077,692,4356803.59
"HURD, WILLIAM",11895912,4201,4350933.33
"QUIRK-SILVA, SHARON DARLENE",11022813,994,4343454.67
"PELOSI, NANCY",2022063,16126,4340286.51
"SHUSTER, BILL",17658321,2878,4084336.44
"BERA, AMERISH B (AMI)",12556998,9731,4082220.98
"SHELBY, RICHARD CRAIG",7384087,2485,4038124.88
"CRAIG, ANGIE",32141809,5561,4023464.24
"WASSERMAN SCHULTZ, DEBBIE",704716,4947,3949200.9
"BRYANT II, WILLIAM LEE (BILL)",2357498,9513,3905582.18
"CURBELO, CARLOS LUIS",364479,2690,3884993.13
"THRONE-HOLST, ANNA E",40218881,10029,3873333.99
"BARKSDALE, JAMES (JIM)",6947237,654,3852688.54
"CANOVA, TIM",41676722,23132,3824595.89
"SCALISE, STEPHEN J (STEVE)",6627583,1151,3746017.93
"HOYER, STENY",8055963,1874,3715773.65
"KHANNA, ROHIT",373494,2114,3704371.31
"HERBERT, GARY R & COX, SPENCER J",9915497,619,3657036.43
"MILLS, STEWART",9160974,1486,3620284.22
"SCHATZ, BRIAN E",6397188,3277,3608459.69
"CLOONEN, KATHERINE M (KATE)",3084086,760,3604034.55
"PORTANTINO, ANTHONY",22560,3188,3592852.68
"BAYH, EVAN",42135672,2439,3579286.36
"MALONEY, SEAN PATRICK",4512254,2875,3576599.84
"KRISHNAMOORTHI, RAJA",38444990,4641,3571398.21
"MOULTON, SETH W",25004670,3319,3560405.94
"HOLLINGSWORTH, TREY",38300304,270,3556123.85
"COFFMAN, MICHAEL (MIKE)",12998053,3683,3550685.22
"BUSTOS, CHERI",15306815,17312,3516197.53
"EDWARDS, DONNA FERN",14547691,6802,3513512.66
"SCHMITT, ERIC",19121478,1550,3508688.09
"PETERS, SCOTT H",14148706,10725,3505007.81
"CAIN, EMILY ANN",6465137,8088,3475689.63
"PIERCE, WILLIAM C (BUD)",39434567,2199,3469117.36
"COSTA JR, JAY",6387296,2366,3446592.67
"POLIQUIN, BRUCE L",6680655,2868,3424375.78
"BAKER, CATHARINE",23421184,2666,3406760.11
"DENHAM, JEFFREY",13008566,2187,3358742.26
"HOEVEN III, JOHN HENRY",144736,2779,3347602.65
"MENDOZA, SUSANA",6388760,830,3332236.11
"BROWNLEY, JULIA",1256839,17810,3300041.4
"WALDEN, GREGORY P",3106417,2401,3299318.96
"CHANG, LING LING",594598,1038,3298818.06
"HUGHES, VINCENT J",6387306,2537,3291709.55
"MEDINA, ABIGAIL",39707445,644,3287083.93
"MCMORRIS RODGERS, CATHY",2941046,2555,3285079
"BULLOCK, STEPHEN C (STEVE) & COONEY, MIKE",7710805,18200,3284519.78
"YODER, KEVIN W",6612812,2001,3230917.38
"KENNEDY, JOHN",41316523,1857,3217545.29
"GABBARD TAMAYO, TULSI",6401344,2835,3216038.52
"MCHENRY, PATRICK TIMOTHY",6009425,2078,3208681
"UPTON, FREDERICK STEPHEN (FRED)",2001367,1990,3197564.82
"SHIMKUS, JOHN M",17657969,2300,3195729.02
"RUIZ, RAUL",17657757,9370,3173470.35
"KUSTER, ANN MCLANE",9794994,7960,3161566.62
"KENNEDY III, JOSEPH P",17658014,4949,3153218.92
"HONDA, MICHAEL M (MIKE)",2053195,4629,3145836.69
"CARROLL, MORGAN",6029780,6890,3135444.71
"STEFANIK, ELISE M",21236694,2612,3132887.51
"REED II, THOMAS W",17657549,2607,3132767.22
"KINDER, PETER",4706545,1307,3119966.3
"WEINHOLTZ, MIKE & BOWMAN, KIM",39715879,3011,3107337.47
"CARBAJAL, SALUD",39707235,3490,3100411.8
"RADOGNO, CHRISTINE",2701213,1358,3097623.2
"COOK-KALLIO, CHERYL",39707397,726,3077632.51
"CROWLEY, JOSEPH (JOE)",4876353,1881,3075794.94
"HUCKABEE, MIKE D",6578217,6413,3064303.84
"STERN, HENRY",39707348,2282,3051374.46
"BEISER, DANIEL V",2815548,630,3050122.73
"FASO, JOHN J",4553878,2896,3046647.34
"FLINN JR, GEORGE S",9421327,11,3027559.25
"NOLAN, RICHARD MICHAEL (RICK)",6255786,5124,3024826.58
"CULLERTON, THOMAS E",6514792,1048,3017183.65
"BABINEC, MARTIN D",4588765,30,3012263.57
"GLENN, DARRYL",40461456,11327,3006369.26
"PARSON, MICHAEL L (MIKE)",3839314,2634,3005100.67
"STIVERS, STEVEN (STEVE)",3672534,1970,2990657.6
"ROSKAM, PETER J",3052886,2618,2988710.55
"JAYAPAL, PRAMILA",2644458,4345,2987333.33
"MAST, BRIAN",32158682,3578,2982562.53
"RANDLES, BEV",39656849,589,2962914.96
"COLE III, WILLIAM PAUL (BILL)",6700948,4793,2946763.97
"ROBERTSON, GLEN CHARLES",20745531,238,2920347.27
"FOSTER, GEORGE WILLIAM (BILL)",16623751,4916,2914425.93
"BERTINO-TARRANT, JENNIFER",6514977,1168,2911178.07
"AGUILAR, PETE",17657748,10338,2910371.65
"KILLION, THOMAS H",13006060,998,2891643.23
"MCAULIFFE, MICHAEL P",12999947,548,2881730.98
"BRADLEY, JOHN",13000247,830,2871561.55
"VERNON, MONICA WOLF",6098942,5303,2863008.5
"KIM, YOUNG",22215539,1594,2838258.03
"RASKIN, JAMIN BEN (JAMIE)",1066956,4806,2823006.09
"KAMINSKY, TODD D",26158013,1712,2811442.02
"SANTARSIERO, STEVE",39434647,5995,2792903.61
"HOLDING, GEORGE EDWARD BELL",6367035,2788,2790180.51
"ELLISON, KEITH M",6515997,5966,2786499.12
"VALADAO, DAVID G",13008587,2349,2771368.42
"GALLAGHER, MIKE",40609598,3993,2767173.26
"WIENER, SCOTT",32203683,3505,2764533.55
"NEWMAN, JOSH",17794889,409,2764282.32
"BENNETT, LUANN L",5757496,3942,2753019.54
"HADLEY, DAVID F",23421309,1810,2739616.87
"KATKO, JOHN M",23598676,2591,2722528.51
"ISSA, DARRELL E",61054,1968,2720996.33
"ORTIZ-LEGG, DAWN",39707427,620,2716946.64
"TORSELLA, JOSEPH M",4852136,1483,2707773.27
"JUNEAU, DENISE",39289478,9383,2707063.2
"YINGLING, SAM",13000105,443,2688455.29
"RENDON, ANTHONY",11022811,1348,2683112.56
"PALLONE JR, FRANK",17658803,1851,2656131.62
"WILK, SCOTT",11023296,880,2621885.33
"FORBY, GARY F",3522147,1000,2616196.93
"DAVIS, RODNEY",3054746,2269,2607239.32
"BARR, GARLAND (ANDY)",9192076,2376,2590640.96
"TURZAI, MICHAEL C",13005571,1336,2563665.86
"YOUNG, DAVID E",6056851,1924,2561617.8
"DRISKELL, GRETCHEN D",90116,7380,2554189.05
"STEINORTH, MARC",15368808,881,2538268.59
"ASHFORD, BRAD",6561657,4129,2522274.46
"COSTELLO, RYAN A",23442796,2093,2501669.67
"NUNES, DEVIN G",2429326,1486,2500036.48
"AVAKIAN, BRADLEY P (BRAD)",5023715,2057,2488460.84
"ROWDEN, CALEB",11029515,780,2458963.52
"PRICE, THOMAS EDMUNDS (TOM)",7844765,2189,2442158.34
"MEEHAN, PATRICK L",17657569,1809,2428253.47
"GONZALEZ, VICENTE",17872003,375,2425445
"WALBERG, TIMOTHY L",200642,2442,2417435.72
"GARRETT, E SCOTT",6586028,2636,2406536.35
"GRAHAM, JOHN C (JACK)",39565386,379,2393397.85
"SUOZZI, THOMAS R (TOM)",28631566,2047,2392183.44
"SESSIONS, PETE",10838573,1410,2386400.3
"KAY, DWIGHT D",2917497,410,2380471.55
"BOST, MICHAEL J (MIKE)",6577297,2395,2371651.76
"NOEM, KRISTI LYNN",6669590,2596,2370578.03
"ZAPPALA JR, STEPHEN A",5409514,680,2361765.2
"GALGIANI, CATHLEEN",358943,1493,2359234.42
"LEWIS, SETH",2789496,252,2341677.33
"JENKINS, LYNN",6612389,1767,2331071.95
"WAGNER, ANN L",4493676,1605,2329540.7
"ATKINS, TONI",145632,1516,2318409.98
"FAREED, JUSTIN DONALD",23420976,1673,2315881.24
"MINTER, SUE",40588696,5372,2315405.22
"LISMAN, BRUCE M",9952105,427,2307527.57
"DUFFY, SEAN P",2928087,2222,2296711.07
"STRATTON, JULIANA W",12431605,575,2292814.33
"OHALLERAN, TOM",40621857,2892,2252318.4
"SKINNER, NANCY",81851,3209,2246265.31
"HENSARLING, JEB",17658386,1364,2241266.38
"LANKFORD, JAMES PAUL",17657561,1912,2235574.07
"CREIGHTON, CHARLES BRANDON",6599058,1123,2231499.32
"DUNN, NEAL PATRICK",117671,1441,2218213.89
"KIHUEN, RUBEN",6476722,3300,2209369.21
"CHENEY, ELIZABETH LYNNE (LIZ)",15475560,1212,2201590.86
"HILL, JAMES FRENCH (FRENCH)",9620575,2176,2195931.5
"BUSH, MELINDA (WILLEN)",6514861,945,2188590.38
"BLACKBURN, MARSHA W",6654369,1610,2188473.62
"CLYBURN, JAMES E (JIM)",5019671,1909,2169054.32
"KIND, RON",15167032,3927,2158684.79
"STUTZMAN, MARLIN A",12230094,8909,2157096.46
"FITZPATRICK, BRIAN",39434649,1700,2154564.28
"GALLEGO, PETE P",6386791,3271,2152755.4
"BEALL, JIM",776647,1294,2147480.37
"KILMER, DEREK C",1230035,2153,2141043.76
"LARA, RICARDO",6489792,1404,2140684.07
"WALORSKI, JACKIE SWIHART",6659187,1745,2138641.96
"LUJAN, BEN RAY",16109624,1809,2128521
"THORNBERRY, MAC",17658625,2435,2126509.42
"HINOJOSA, JUAN (CHUY)",10244371,1352,2115507.9
"RENACCI, JAMES B (JIM)",2900801,1605,2114323.42
"JONES, CHRISTINE N",8457713,67,2112869.68
"MATTHEWS, KATHLEEN",38601909,3100,2111326.51
"DROBINSKI, ROD",21085140,135,2092939.55
"BABCOCK, MIKE",6700685,239,2092238.62
"JOYCE, DAVID P",14885217,1551,2088215.84
"DODD, BILL",18694309,1697,2086201.35
"RICE, KATHLEEN M",6510977,1481,2081961.79
"HUDSON JR, RICHARD LANE",6611759,1607,2075851.77
"ERVIN, JOHNATHON LEVAR",33087727,364,2074237.44
"CRIST JR, CHARLES J (CHARLIE)",1736080,1391,2073382.29
"OBHOF, LARRY",6700365,1423,2066917.66
"CERVANTES, SABRINA",38566119,519,2061220.48
"EMMER JR, THOMAS EARL",12996955,1934,2059268.79
"DELBENE, SUZAN K",2610675,4340,2057562.05
"GRONSTAL, MICHAEL E (MIKE)",6013560,1244,2055051.76
"TARKANIAN, DANNY",2298311,1820,2055050.4
"NORCROSS, DONALD",6498707,1784,2051590.45
"BLUM, RODNEY L",3203235,2182,2051570.2
"APPLEGATE, DOUG LOREN",39707300,2694,2047737.28
"FOREST, DAN",10885310,3673,2043331.48
"JOHNSON, LON",12720134,3314,2040279.11
"KUNZE, STEPHANIE L",10238809,628,2038844.98
"MCGRATH, CHRISTOPHER T",39680160,864,2036551.62
"HIMES, JIM",14446256,1565,2034102.84
"LIEU, TED W",2451821,1796,2033330.77
"RAFFERTY JR, JOHN C",39434619,1290,2028981.99
"THOMPSON, MIKE",1952480,2175,2019448.33
"CONNOLLY, GERALD E (GERRY)",16577898,4090,2011669.26
"JOLLY, DAVID WILSON",614118,1808,1999864.6
"FRELINGHUYSEN, RODNEY P",6513034,1695,1997723.41
"STUART, KATIE",38445121,282,1987543.82
"PARKHURST, LINDSAY",38445098,290,1986726.28
"LONG, JERRY LEE",21776724,252,1986302.73
"SIFTON JR, RICHARD PRESCOTT (SCOTT)",3800695,2014,1983448.04
"MESSER, LUKE",6659146,1585,1981140.76
"PERLMUTTER, EDWIN G (ED)",6276954,2255,1978187.13
"MACARTHUR, THOMAS C (TOM)",196708,1576,1972762.35
"BONOFF, TERRI E",9154022,2464,1971567.61
"WALTERS, MIMI",13008846,1107,1969709.64
"NELSON, JANE",13013628,1480,1962421.55
"ZOPP, ANDREA L",973103,2410,1961803
"CONAWAY, MICHAEL (MIKE)",11428119,1803,1960074.16
"CONROY, DEBORAH OKEEFE",6499005,405,1957275.99
"MCCOMBIE, TONY M",38445083,393,1957062.55
"DELANEY, JOHN K",5706139,1083,1951728.12
"GRAVES, GARRET",26395838,2500,1950046.19
"SMITH, MICHELLE",38445023,193,1944751.53
"MARWIG, MERRY",38445047,253,1942022.67
"MOWRER, JIM",39447194,4998,1939526.27
"DIAZ DE LA PORTILLA, MIGUEL A",584036,1284,1939126.51
"SWALWELL, ERIC",17657717,2762,1933768.69
"BOURNE, AVERY",38445106,525,1923843.61
"BEYER JR, DONALD STERNOFF",5802522,1944,1922183
"WEBBER, STEPHEN D",3801175,2906,1920017.7
"TIPTON, SCOTT R",6022986,1656,1918203.18
"GEREN, CHARLIE",6582828,1106,1915935.69
"WALKINSHAW, BRADY",2683738,3750,1915657.54
"BARRAGAN, NANETTE DIAZ",39707282,2870,1895510.01
"LUETKEMEYER, BLAINE",4243467,1409,1885798.44
"GOWDY III, HAROLD W (TREY)",8346850,1835,1885063.8
"BONTA, ROB",13008519,1648,1883531.38
"HEANEY, ANDREW",35991726,1323,1881633.03
"BECERRA, XAVIER",16562595,1184,1878093.73
"HARDY, CRESENT",13009059,1335,1873021.74
"TEPLITZ, ROB",11022916,1672,1872079.4
"ZIMMERMAN, JACOB B (JAKE)",13003224,2352,1867100.14
"SLOSBERG, IRVING (IRV)",70342,182,1858676.16
"NEAL, RICHARD E",17658787,1231,1844928.13
"KINZINGER, ADAM DANIEL",17657449,1455,1842014.94
"GUTHRIE, STEVEN BRETT",6573540,1343,1841244.09
"PEARCE, STEVAN E (STEVE)",6638679,1577,1839392.75
"BROOKS, SUSAN",17657978,1431,1833900.96
"ANTONOVICH, MICHAEL D",39707344,1402,1824474.6
"ESTY, ELIZABETH H",12998330,2942,1817072.92
"COLE, TOM",14964187,1299,1812150.09
"NELSON, TOM",32082221,3210,1807496.69
"BLACK, DIANE LYNN",17657588,1493,1805533.21
"SMITH, CHRISTY",39707435,411,1805305.48
"GREEN, GENE",11053772,1171,1798222.68
"MOORE, TIMOTHY KEITH (TIM)",6590148,1316,1793049.94
"FLORES, ANITERE",12999054,2278,1789731.96
"RESCHENTHALER, GUY L",24650451,725,1788467.54
"MORRISEY, PATRICK",6700824,3479,1782466.74
"LUJAN GRISHAM, MICHELLE",14043056,2349,1779678.95
"GOODLATTE, ROBERT W (BOB)",17658523,1326,1777489.82
"RICHARDSON, DENNIS M",5142739,1599,1771178.72
"BURGUM, DOUGLAS J & SANFORD, BRENT",1507472,578,1767695.55
"YODER, SHELLI",17657992,3106,1763210.26
"KIM, JANE",39707325,2308,1762031.15
"ROSENBERGER, CLIFFORD (CLIFF)",2889893,1516,1752289.46
"KLEIN, JEFFREY D",13009287,1072,1749652.02
"ASHCROFT, JOHN R (JAY)",24811446,1073,1749106.73
"HUGHES, D BRYAN",2737425,1340,1744950.08
"BANKS, JIM",2949733,2346,1744525.03
"COSTA, JIM",732074,1300,1741036.68
"ROTHFUS, KEITH JAMES",15328020,1523,1737159.97
"MCMULLIN, EVAN & FINN, MINDY",42113428,2584,1732215.33
"KNIGHT, STEVE",13008615,1512,1720630.73
"URESTI, CARLOS I (CHARLIE)",13007029,1327,1716713.14
"SCHRADER, WALTER KURT (KURT)",22206618,1434,1713380.28
"SMITH, JASON T",6669122,1306,1712595.51
"LOWEY, NITA M",4674617,1312,1705151.84
"PASCRELL JR, BILL",17658695,1709,1700170.39
"ROSEN, JACKY",39827617,2014,1692551.44
"CARNAHAN, RUSS",4393335,1199,1691907.91
"PHELPS, BRANDON",13000249,729,1691745.65
"CARDENAS, TONY",17657742,1230,1689371.61
"DERRICK, MIKE",42061939,2052,1688826.17
"SCHWARTZ, GAIL",40461556,2055,1687349.23
"ENGEL, ELIOT L",17658812,1438,1686701.82
"SCOTT, PHILIP B",6581281,2926,1685616.23
"JOHNSON, BILL",17657550,1226,1683507.85
"MALONEY, CAROLYN B",17658243,1312,1683424.52
"WILLIAMS, ROGER",17658466,1137,1676173.59
"CAFORIO, BRYAN",39707243,3038,1675667.5
"MCCAUL, MICHAEL",15456789,1375,1675164
"CUELLAR, HENRY",37969981,1299,1668541.17
"DENT, CHARLES W",6568974,1315,1659104.32
"REICHERT, DAVE",3576336,1557,1655867.43
"KELLY JR, GEORGE J (MIKE)",5007914,1584,1650002.75
"BISHOP, MICHAEL (MIKE)",13002323,1334,1645515.25
"CALONE, DAVID L",2683162,1619,1643997.48
"ANGELLE, SCOTT A",16072644,891,1639577.98
"FRANKEL, LOIS",12998905,1934,1639235.1
"FOXX, VIRGINIA",13012640,1435,1638421.42
"MICA, JOHN",16307740,1414,1634763.18
"HUNTER, TODD",6679717,1143,1632434.12
"PLUMB, JOHN F",42061941,4661,1631822.58
"LEE, SUZANNE KELLEY (SUSIE)",9713907,1175,1629808.58
"SIMON, SHEILA J",2944119,1243,1627743.32
"WARD, KELLI",12720153,2728,1624414.2
"STREAM, RICK",4025854,1975,1623130.34
"NADLER, JERROLD L",17658246,1250,1618266.8
"SEWELL, TERRI A",17657351,1186,1617786.99
"LARSON, JOHN B",16565470,1405,1616063.66
"SMIDDY, MICHAEL (MIKE)",6515031,375,1611227.46
"POE, ROBERT J (BOB)",2155748,294,1609926.55
"MYERS, KIM A",42061940,999,1609867.69
"VAN OSTERN, COLIN",9691837,9562,1609364.96
"LOEBSACK, DAVID WAYNE (DAVE)",6321205,2702,1608465.95
"BACON, DONALD J",32158683,1864,1608135.05
"BUCHANAN, VERN",17658661,1193,1607570.06
"CARNEY JR, JOHN C",6415549,2545,1594266.85
"WINGER, CHRISTINE JENNIFER",19010322,289,1593618.88
"DOLAN, MATTHEW J",2678118,1050,1593256.51
"LONG, DAVID C",7201836,1007,1592959.14
"MARSHALL, ROGER W",8816503,1362,1590370.85
"EGGMAN, MICHAEL R",16191597,2929,1590156.12
"FOWLER, DALE",3544916,341,1589350.86
"LOBIONDO, FRANK A",17658180,1247,1587946.51
"MULLIN, MARKWAYNE",12013169,1131,1584751.82
"ARRINGTON, JODEY",37969953,1590,1583361.25
"STARRETT, GRANT",32156437,682,1582746.95
"BUCKINGHAM, DAWN",37969894,1685,1581461.76
"SANTORUM, RICHARD JOHN (RICK)",5829001,1884,1579455.23
"HEINZ, MATTHEW GERALD",6479183,3245,1577345.06
"MOYLAN, MARTIN J",2815766,444,1576808.51
"LONG, BILLY",4394340,1273,1569946.63
"TAYLOR, LARRY",10238751,1017,1566360.24
"ELDRIDGE JR, CONNER E",37971487,1844,1561838.4
"TADDEO-GOLDSTEIN, ANNETTE J",15373562,2922,1561271.74
"BERGER SR, PHILIP EDWARD",6180300,1073,1558239.9
"WALZ, TIMOTHY J",9202001,1669,1547190.51
"JOHNSON, JONATHAN & BAGLEY, ROBYN",13732211,360,1545091.98
"HECK, DENNIS R (DENNY)",2606434,1717,1544197.23
"SHERMAN, BRAD",369166,1304,1541976.11
"OLSON, PETE",17658836,1164,1535575.67
"HILL JR, CURTIS T",42136125,604,1534160.92
"HABER, ADAM M",4459124,592,1530025.32
"FLORES, WILLIAM H (BILL)",17657601,1259,1528608.57
"SMITH, LAMAR",17658727,1125,1528541.33
"NEHLEN, PAUL",40609580,2499,1522533.65
"MAYES, CHAD",785335,1000,1519513.49
"EVANS, DWIGHT",13006152,1730,1516003.68
"GRAVES JR, SAMUEL B (SAM)",3836803,1091,1514251.13
"ROS-LEHTINEN, ILEANA",9685208,1154,1512683.22
"ROKITA, THEODORE E (TODD)",6592215,1212,1512069.34
"SHEA-PORTER, CAROL",9763306,2216,1511529.83
"DEUTCH, TED",6467543,1189,1511491.68
"OCONNOR, SHAWN P",41875712,581,1505971.43
"CICILLINE, DAVID N",6441236,2231,1505725.94
"DISANTO, GIOVANNI M (JOHN)",4825457,504,1502465.89
"ROBY, MARTHA",17657350,1146,1499224.29
"REYES, SEAN D",13010317,472,1497844.83
"BLUMENAUER, EARL",4977792,1183,1495097.03
"MURPHY, TIMOTHY F",6583759,1335,1493440.92
"BRADFORD, STEVE",357173,1142,1492280.61
"GUINTA, FRANK C",6594570,1136,1489705.72
"SMUCKER, LLOYD K",13013355,725,1487465
"DEFAZIO, PETER A",17658713,2269,1482018.84
"LOFGREN, ZOE",761620,1279,1478510.19
"DEACON, COLLEEN",40621517,2591,1476361.81
"SANCHEZ, LINDA T",17657762,1227,1475360.33
"SCHAKOWSKY, JANICE D (JAN)",6419995,1847,1465404.96
"PANETTA, JIMMY",39707226,1285,1464017.14
"SEVERIN, DAVE",38445127,337,1455653.76
"ADERHOLT, ROBERT",14087235,1064,1451475.04
"ZAFFIRINI, JUDITH",10244494,1228,1448651.99
"SLAUGHTER, LOUISE M",17658702,2667,1447291.41
"POMPEO, MICHAEL RICHARD (MIKE)",8842438,1123,1447062.75
"CALVERT, KEN",2378663,1017,1443899.49
"MUSSMAN, MICHELLE",2740714,342,1441550.69
"BILIRAKIS, GUS MICHAEL",12998704,1270,1434943.95
"JINDAL, BOBBY",6613013,770,1431663.52
"JACOBS, CHRISTOPHER L",5033860,979,1429012.63
"FLEISCHMANN, CHUCK",9391800,1258,1424909.57
"CRAMER, KEVIN J",13010662,1139,1424440.42
"DABABNEH, MATT",18912256,747,1424030.15
"MOLLOY II, MARTIN W",38427093,373,1423757.67
"BLUNT ROCHESTER, LISA",38420440,1469,1421651.45
"SZELIGA, KATHRYN Y (KATHY)",4599660,1732,1421601.72
"MUNOZ, ANTONIO (TONY)",3041876,1154,1419612.36
